Teacher_Under5yrs	College_Crit
79.5	-1
76.4	-1
85.3	-1
45.5	-1
15.5	-1
20.2	-1
18.4	-1
45.4	-1
24.3	-1
41.9	-1
21.7	-1
91.7	-1
85.5	-1
25.9	-1
71.6	-1
48.5	-1
27.4	-1
35.7	-1
52	-1
39.8	-1
58.1	-1
64.7	-1
42.1	-1
19.7	-1
28.4	-1
9.6	-1
75.9	-1
100	-1
41.9	-1
25.2	-1
6.5	-1
48.5	-1
33.1	-1
44.1	-1
21.9	-1
57.1	-1
79.8	-1
32	-1
43.8	-1
30.3	-1
7.5	-1
17.4	-1
63.4	-1
30.5	-1
25.7	-1
36.5	-1
48.7	-1
31.6	-1
27.9	-1
50	-1
32.1	-1
29.3	0
22.7	0
54.5	0
24.6	0
32.4	0
40.3	0
48	0
56.3	0
50.5	0
46	0
18	0
34	0
45.4	0
69.5	0
93.7	0
23.3	0
24	0
25.5	0
25	0
57	0
47.5	0
32.5	0
36.3	0
86.9	0
35.8	0
48.6	0
60.1	0
66.4	0
85.1	0
47.8	0
31.6	0
43.7	0
26.3	0
21	0
33.5	0
24.6	0
83.4	0
54.9	0
80.9	0
35	0
44.8	0
59.4	0
36.8	0
86.4	0
36.8	0
24.1	0
53.5	0
45.6	0
63.3	0
26.9	0
35.9	0
35.1	0
42	0
18.5	0
67	0
22.7	0
22.8	0
41.9	0
23.5	0
43.9	0
35.5	0
21.4	0
35.9	0
31.4	0
18.5	0
14.2	0
41.2	0
22.4	0
26.3	0
25	1.3
38	1.8
54.9	1.8
44.2	1.9
43	2
40.3	2.1
44.6	2.1
56.2	2.2
43.3	2.4
31.6	2.4
42.2	2.4
20.4	2.4
30.7	2.4
30.2	2.5
41.4	2.6
88.9	2.6
53.1	2.7
86.9	2.8
45.1	2.8
91.9	2.9
62.4	2.9
98.9	3
66.4	3
36.1	3
46.9	3
31.2	3
42.9	3.1
46.6	3.2
29.9	3.2
28.7	3.5
24.1	3.5
25.5	3.6
52	3.8
96.4	4
38	4
29.9	4.1
44.5	4.2
29.7	4.2
34.9	4.3
19.8	4.3
18.4	4.3
34.9	4.3
37.2	4.5
59	4.5
72.6	4.5
34.1	4.7
39.4	4.7
90.5	4.8
44.2	4.8
49.8	4.8
37.3	4.9
37.9	4.9
26.3	4.9
34.3	5
48	5.1
32.8	5.2
44.9	5.2
25.6	5.2
29.1	5.2
27.5	5.3
24.2	5.4
44	5.4
43.4	5.6
35.1	5.6
31.7	5.6
52.4	5.6
53.8	5.7
30.1	5.8
25.5	5.9
51.3	5.9
27.2	5.9
23.2	6
33.7	6.2
72.5	6.3
31	6.3
26.2	6.4
36.5	6.5
19.8	6.6
46.8	6.6
43.4	6.7
72.8	6.7
92.5	6.7
29.5	6.7
50.3	6.7
45.8	6.7
27.4	6.7
52.8	6.7
38.6	6.8
.	6.8
46.6	6.9
30.7	7
19.8	7
49.6	7.1
37.1	7.1
16.1	7.1
36.4	7.1
30.1	7.1
36.1	7.4
45.7	7.4
34.4	7.4
25.3	7.5
24.9	7.7
53.8	7.7
28.8	7.7
31.8	7.7
31.6	7.7
19.4	7.7
36.8	7.7
35.4	7.7
53.5	7.7
43	7.7
47.7	7.7
12.5	7.7
35.7	7.7
35.1	7.7
24	7.7
44.2	7.8
50.3	7.9
30.3	8
20.3	8
16.8	8
52	8
37.1	8.1
89.3	8.3
15.9	8.3
47.7	8.3
47	8.3
27.3	8.3
41.7	8.3
30.3	8.3
34.5	8.3
60.6	8.3
20.7	8.3
19.1	8.3
35.9	8.3
31.1	8.4
44.7	8.4
35.1	8.5
62	8.5
44.8	8.5
30.8	8.5
15.6	8.7
20.8	8.8
39.2	8.8
44	8.9
37.9	9
27.9	9.1
25	9.1
38.1	9.1
20.4	9.1
52.2	9.1
31.3	9.1
60.8	9.1
48.5	9.1
20.7	9.1
46.3	9.1
31.9	9.1
21.5	9.2
27.2	9.3
42.6	9.3
22.2	9.3
29.2	9.3
49.8	9.4
24	9.4
32.4	9.4
34.1	9.5
25.9	9.5
22.2	9.5
27.8	9.5
47.5	9.5
15.4	9.5
34.6	9.6
28.3	9.7
72.8	9.7
43.7	9.7
24	9.7
25.4	9.7
27.7	9.8
31.3	9.8
37.4	9.9
42.9	10
23	10
59.7	10
58.1	10
28.3	10
28.5	10
37	10
46.4	10
54.8	10
21.9	10
33.3	10
18.8	10
34.2	10
30.9	10
21.2	10
26.3	10
37.9	10
66.1	10.1
23.4	10.1
26.4	10.1
37.6	10.1
31.1	10.2
37.2	10.3
21.5	10.3
40.9	10.4
19.2	10.4
32.2	10.5
56.4	10.5
56.5	10.5
36.8	10.5
42	10.6
24.4	10.6
37.1	10.7
36.3	10.7
37.4	10.7
38	10.7
18.4	10.8
26.8	10.9
36.7	11
42.3	11.1
48.1	11.1
34.1	11.1
31.7	11.1
33	11.1
25.5	11.1
44.6	11.1
47.4	11.1
19.2	11.1
24.5	11.1
22	11.1
17.3	11.3
38.1	11.3
33.8	11.4
34.4	11.4
43.6	11.4
22.6	11.5
19.4	11.5
35.6	11.6
34.9	11.6
27.3	11.7
36	11.8
34.3	11.8
7.4	11.8
19.2	11.9
23	11.9
33.6	12
39.1	12
36.5	12
34.4	12
23.2	12
37.3	12
44.9	12.1
24.7	12.2
23.8	12.2
31.6	12.2
28.5	12.3
42.6	12.4
43	12.4
20	12.5
49.7	12.5
37	12.5
28.4	12.5
29.9	12.5
29.3	12.5
50.5	12.5
30.3	12.5
41.6	12.5
42.1	12.5
11.4	12.5
20.8	12.5
22.9	12.5
51.1	12.5
28.1	12.5
31.5	12.5
29.3	12.5
23.5	12.5
39	12.6
24.2	12.7
81	12.8
27.7	12.8
46.8	12.8
33.7	12.8
37	12.9
32.2	12.9
33.9	13
43.2	13
23.9	13
76.3	13.2
83.9	13.3
22.3	13.3
27.1	13.3
